id,policy_key,status,premium_amount,insurance_company,ramo_nombre,start_date,end_date,numero_renovacion
203312,4308005394495000,expired,206700.0,PREVISORA,SOAT,2024-05-30,2025-05-29,0
203325,10565200453450,expired,59700.0,SEGUROS DEL ESTADO S.A,SOAT,2025-05-14,2024-06-14,0
203339,10565200453070,expired,134100.0,SEGUROS DEL ESTADO S.A,SOAT,2025-05-13,2025-08-12,0
203369,2050330740103,expired,3791556.0,BOLIVAR,AUTOMOVILES,2025-12-24,2026-12-24,2
203376,890109 NO R,expired,484600.0,PREVISORA,SOAT,2025-04-28,2026-04-27,0
203389,10100737,expired,0.0,SEGUROS DEL ESTADO S.A,AUTOMOVILES,2024-06-07,2025-06-07,1
203391,100296,expired,0.0,AURORA SEGUROS DE VIDA,VIDA GRUPO,2024-03-01,2025-03-01,0
203394,4308006336964000,expired,424000.0,PREVISORA,SOAT,2024-05-25,2025-05-24,0
203397,4308005336604000,expired,389300.0,PREVISORA,SOAT,2024-05-25,2025-05-24,0
203398,4308005338176000,expired,389300.0,PREVISORA,SOAT,2024-05-07,2025-05-06,0
203399,4308005338382000,expired,319400.0,PREVISORA,SOAT,2024-05-07,2025-05-06,0
203400,4308005338486000,expired,424000.0,PREVISORA,SOAT,2024-05-07,2025-05-06,0
203401,39165546,expired,544800.0,SURA,SOAT,2024-05-08,2025-05-07,0
203408,4308006775982000,expired,733400.0,PREVISORA,SOAT,2024-05-06,2025-05-05,1
203409,430805337632000,expired,150100.0,PREVISORA,SOAT,2024-05-07,2025-05-06,0
203410,4308005337233000,expired,803200.0,PREVISORA,SOAT,2024-05-07,2025-05-06,0
203454,4308005334498000,expired,677800.0,PREVISORA,SOAT,2024-05-05,2025-05-04,0
203455,4308005334528000,expired,803200.0,PREVISORA,SOAT,2024-05-05,2025-05-04,0
203456,4308005334260000,expired,677800.0,PREVISORA,SOAT,2024-05-06,2025-05-05,0
203457,4308005335082000,expired,389300.0,PREVISORA,SOAT,2024-05-05,2025-05-04,0
203458,8901092597601,expired,677800.0,BOLIVAR,SOAT,2024-05-25,2025-05-24,0
203459,4308005337769000,expired,803200.0,PREVISORA,SOAT,2024-05-07,2025-05-06,0
203471,10565200450540,expired,52400.0,SEGUROS DEL ESTADO S.A,SOAT,2025-05-01,2025-05-31,0
203504,4308006748423745000,cancelled,733400.0,PREVISORA,SOAT,2025-04-29,2026-04-28,0
203523,4308005334773000,expired,424000.0,PREVISORA,SOAT,2024-05-05,2025-05-04,0
203525,101001272,expired,2450000.0,SEGUROS DEL ESTADO S.A,JUDICIAL,2025-05-08,2025-05-11,0
203542,4308005334854000,expired,389300.0,PREVISORA,SOAT,2024-05-05,2025-05-04,0
203543,4308005332894000,expired,803200.0,PREVISORA,SOAT,2024-05-04,2025-05-03,0
203544,4308005333623000,expired,201600.0,PREVISORA,SOAT,2024-05-04,2025-05-03,0
203545,4308005334209000,expired,150100.0,PREVISORA,SOAT,2024-05-05,2025-05-04,0
203546,ZGO20D,expired,201600.0,PREVISORA,SOAT,2024-05-05,2025-05-04,0
203547,4308005334595000,expired,201600.0,PREVISORA,SOAT,2024-05-05,2025-05-04,0
203557,4308005332147000,expired,319400.0,PREVISORA,SOAT,2024-05-03,2025-05-02,0
203559,4308005333367000,expired,803200.0,PREVISORA,SOAT,2024-05-04,2025-05-03,0
203560,4308005333363000,expired,389300.0,PREVISORA,SOAT,2024-05-06,2025-05-05,0
203561,4308005333316000,expired,803200.0,PREVISORA,SOAT,2024-05-04,2025-05-03,0
203562,4308005333192000,expired,201600.0,PREVISORA,SOAT,2024-05-04,2025-05-03,0
203565,4308005330386000,expired,424000.0,PREVISORA,SOAT,2024-05-03,2025-05-02,0
203566,4308005330771000,expired,567400.0,PREVISORA,SOAT,2024-05-03,2025-05-02,0
203567,4308005329863000,expired,570700.0,PREVISORA,SOAT,2024-05-03,2025-05-02,0
203568,1408004193106000,expired,206700.0,PREVISORA,SOAT,2024-05-08,2025-05-07,0
203569,1408004193107000,expired,728800.0,PREVISORA,SOAT,2024-05-03,2025-05-02,0
203570,4308005331753000,expired,389300.0,PREVISORA,SOAT,2024-05-04,2025-05-03,0
203571,4308005331761000,expired,201600.0,PREVISORA,SOAT,2024-05-04,2025-05-03,0
203572,4308005331950000,expired,201600.0,PREVISORA,SOAT,2024-05-04,2025-05-03,0
203573,10565200344330,expired,201600.0,SEGUROS DEL ESTADO S.A,SOAT,2024-05-03,2025-05-02,0
203574,10565200344340,expired,201600.0,SEGUROS DEL ESTADO S.A,SOAT,2024-05-03,2025-05-02,0
203575,14289408988980,expired,201600.0,SEGUROS DEL ESTADO S.A,SOAT,2024-05-03,2025-05-02,0
203577,8901092041701,expired,319400.0,BOLIVAR,SOAT,2024-05-06,2025-05-05,0
203578,10565200448810,expired,58400.0,SEGUROS DEL ESTADO S.A,SOAT,2025-04-24,2025-05-24,0
203583,4308005328212000,expired,424000.0,PREVISORA,SOAT,2024-05-01,2025-04-30,0
203584,4308005328147000,expired,389300.0,PREVISORA,SOAT,2024-05-01,2025-04-30,0
203585,1408004193027000,expired,636000.0,PREVISORA,SOAT,2024-05-01,2025-04-30,0
203587,4308005327432000,expired,803200.0,PREVISORA,SOAT,2024-05-01,2025-04-30,0
203588,430800532659000,expired,484600.0,PREVISORA,SOAT,2024-05-01,2025-04-30,0
203589,4308005326981000,expired,201600.0,PREVISORA,SOAT,2024-05-01,2025-04-30,0
203590,4308005325249000,expired,803200.0,PREVISORA,SOAT,2024-05-01,2025-04-30,0
203591,4308005325492000,expired,389300.0,PREVISORA,SOAT,2024-05-01,2025-04-30,0
203592,4308005326389000,expired,677800.0,PREVISORA,SOAT,2024-05-01,2025-04-30,0
203594,4308005321341000,expired,567400.0,PREVISORA,SOAT,2024-04-29,2025-04-28,0
203595,4308005321391000,expired,201600.0,PREVISORA,SOAT,2024-04-30,2025-04-29,0
203596,4308005321508000,expired,795300.0,PREVISORA,SOAT,2024-04-30,2025-04-29,0
203597,43080053213000,expired,389300.0,PREVISORA,SOAT,2024-04-30,2025-04-29,0
203598,10565200344040,expired,912800.0,SEGUROS DEL ESTADO S.A,SOAT,2024-05-01,2025-04-30,0
203599,39123278,expired,677800.0,SURA,SOAT,2024-05-01,2025-04-30,0
